DUID,Station,Fuel,Region
TORRB3,Torrens Island Power Station,Other,SA1
TORRB4,Torrens Island Power Station,Other,SA1
TOWER,Tower Power Plant,Other,NSW1
TREVALLN,Trevallyn Power Station,Hydro,TAS1
TRGBESS1,Terang BESS,Battery,VIC1
TRIBUTE,Tribute Power Station,Hydro,TAS1
TULLYSM1,Tully Sugar Mill,Bioenergy,QLD1
TUMUT3,Tumut 3 Power Station,Hydro,NSW1
TUNGATIN,Tungatinah Power Station,Hydro,TAS1
TVCC201,Tamar Valley Combined Cycle Power Station,Other,TAS1
TVPP104,Bell Bay Three Power Station,Other,TAS1
ULPBESS1,Ulinda Park BESS,Battery,QLD1
UPPTUMUT,Tumut Power Station,Hydro,NSW1
URANQ11,Uranquinty Power Station,Other,NSW1
URANQ12,Uranquinty Power Station,Other,NSW1
URANQ13,Uranquinty Power Station,Other,NSW1
URANQ14,Uranquinty Power Station,Other,NSW1
VALDORA1,Valdora Solar Farm,Solar - Utility,QLD1
VBB1,Victorian Big Battery,Battery,VIC1
VP5,"Vales Point ""B"" Power Station",Other,NSW1
VP6,"Vales Point ""B"" Power Station",Other,NSW1
VPGS1,Valley Power Peaking Facility,Other,VIC1
VPGS2,Valley Power Peaking Facility,Other,VIC1
VPGS3,Valley Power Peaking Facility,Other,VIC1
VPGS4,Valley Power Peaking Facility,Other,VIC1
VPGS5,Valley Power Peaking Facility,Other,VIC1
VPGS6,Valley Power Peaking Facility,Other,VIC1
W/HOE#1,Wivenhoe Power Station,Hydro,QLD1
W/HOE#2,Wivenhoe Power Station,Hydro,QLD1
WAGGNSF1,Wagga North Solar Farm,Solar - Utility,NSW1
WALGRV1,Wallgrove BESS 1,Battery,NSW1
WAMBOWF1,Wambo Wind Farm 1,Wind,QLD1
WANDB1,Wandoan Battery Energy Storage System (BESS),Battery,QLD1
WANDSF1,Wandoan Solar Farm 1,Solar - Utility,QLD1
WARWSF1,Warwick Solar Farm 1,Solar - Utility,QLD1
WARWSF2,Warwick Solar Farm 2,Solar - Utility,QLD1
WATERLWF,Waterloo Wind Farm,Wind,SA1
WAUBRAWF,Waubra Wind Farm,Wind,VIC1
WDBESS1,Western Downs Battery Energy Storage System,Battery,QLD1
WDBESS2,Western Downs Battery Energy Storage System (BESS),Battery,QLD1
WDGPH1,Western Downs GPH,Solar - Utility,QLD1
WDLNGN01,Woodlawn Bioreactor Energy Generation Station,Bioenergy,NSW1
WELLSF1,Wellington Solar Farm,Solar - Utility,NSW1
WELNSF1,Wellington North Solar Farm,Solar - Utility,NSW1
WEMENSF1,Wemen Solar Farm,Solar - Utility,VIC1
WESTILL1,West Illawarra Leagues Club Plant,Other,NSW1
WGWF1,Willogoleche Wind Farm,Wind,SA1
WHILL1,Windy Hill Wind Farm,Wind,QLD1
WHIT1,Whitwood Road Renewable Energy Facility,Bioenergy,QLD1
WHITSF1,Whitsunday Solar Farm,Solar - Utility,QLD1
WILGAPK,Wilga Park Power Station,Other,NSW1
WILGB01,Wilga Park B,Other,NSW1
WILLHOV1,William Hovell Power Station,Hydro,VIC1
WINGF1_1,Wingfield 1 Landfill Gas Power Station,Bioenergy,SA1
WINGF2_1,Wingfield 2 Landfill Gas Power Station,Bioenergy,SA1
WINTSF1,Winton Solar Farm,Solar - Utility,VIC1
WKIEWA1,West Kiewa Power Station,Hydro,VIC1
WKIEWA2,West Kiewa Power Station,Hydro,VIC1
WLWLSF1,Walla Walla Solar Farm 1,Solar - Utility,NSW1
WLWLSF2,Walla Walla Solar Farm 2,Solar - Utility,NSW1
WNSF1,Wangaratta Solar Farm,Solar - Utility,VIC1
WOLARSF1,Wollar Solar Farm,Solar - Utility,NSW1
WOLLERT1,Wollert Renewable Energy Facility,Bioenergy,VIC1
WONWP,Wonthaggi Wind Farm,Wind,VIC1
WOODLWN1,Woodlawn Wind Farm,Wind,NSW1
WOOLGSF1,Woolooga Solar Farm,Solar - Utility,QLD1
WOOLNTH1,Woolnorth Studland Bay / Bluff Point Wind Farm,Wind,TAS1
WPWF,Wattle Point Wind Farm,Wind,SA1
WRSF1,White Rock Solar Farm,Solar - Utility,NSW1
WRWF1,White Rock Wind Farm,Wind,NSW1
WSTWYSF1,West Wyalong Solar Farm,Solar - Utility,NSW1
WTAHB1,Waratah Super Battery,Battery,NSW1
WUNUSF1,Wunghnu Solar Farm,Solar - Utility,VIC1
WYANGALA,Wyangala A Power Station,Hydro,NSW1
WYANGALB,Wyangala B Power Station,Hydro,NSW1
WYASF1,Wyalong Solar Farm,Solar - Utility,NSW1
YABULU,Townsville Gas Turbine,Other,QLD1
YABULU2,Townsville Gas Turbine,Other,QLD1
YAMBUKWF,Yambuk Wind Farm,Wind,VIC1
YARANSF1,Yarranlea Solar Farm,Solar - Utility,QLD1
YARWUN_1,Yarwun Power Station,Other,QLD1
YATSF1,Yatpool Solar Farm,Solar - Utility,VIC1
YAWWF1,Yawong Wind Farm,Wind,VIC1
YENDWF1,Yendon Wind Farm,Wind,VIC1
YSWF1,Yaloak South Wind Farm,Wind,VIC1
YWNGAHYD,Yarrawonga Hydro Power Station,Hydro,VIC1
YWPS1,Yallourn 'W' Power Station,Other,VIC1
YWPS2,Yallourn 'W' Power Station,Other,VIC1
YWPS3,Yallourn 'W' Power Station,Other,VIC1
YWPS4,Yallourn 'W' Power Station,Other,VIC1
